-6.71;-6.32;-5.83;-5.39;-5.00;-4.47;-4.12;-4.00;-4.00;-4.00;-4.00;-4.00;-4.12;-4.47;-5.00;-5.00
-5.83;-5.39;-5.00;-4.47;-4.12;-3.61;-3.16;-3.00;-3.00;-3.00;-3.00;-3.00;-3.16;-3.61;-4.00;-4.00
-5.00;-4.47;-4.12;-3.61;-3.16;-2.83;-2.24;-2.00;-2.00;-2.00;-2.00;-2.00;-2.24;-2.83;-3.00;-3.00
-4.12;-3.61;-3.16;-2.83;-2.24;-2.00;-1.41;-1.00;-1.00;-1.00;-1.00;-1.00;-1.41;-2.00;-2.00;-2.00
-3.16;-2.83;-2.24;-2.00;-1.41;-1.00;-1.00;1.00;1.00;1.00;1.00;1.00;-1.00;-1.00;-1.00;-1.00
-2.24;-2.00;-1.41;-1.00;-1.00;1.00;1.00;1.41;2.00;2.00;2.00;1.41;1.00;1.00;1.00;1.00
-1.41;-1.00;-1.00;1.00;1.00;1.41;2.00;2.24;2.83;3.00;2.83;2.24;2.00;2.00;2.00;2.00
-1.00;1.00;1.00;1.41;2.00;2.24;2.83;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00
1.00;1.41;2.00;2.24;2.83;2.83;2.24;2.00;2.00;2.00;2.00;2.00;2.00;2.00;2.24;2.83
2.00;2.24;2.83;2.83;2.24;2.00;1.41;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.41;2.00
2.83;2.24;2.00;2.00;1.41;1.00;1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;1.00;1.00
2.24;1.41;1.00;1.00;1.00;-1.00;-1.00;-1.41;-2.00;-2.00;-2.00;-2.00;-2.00;-1.41;-1.00;-1.00
1.41;1.00;-1.00;-1.00;-1.00;-1.41;-2.00;-2.24;-2.83;-3.00;-3.00;-3.00;-2.83;-2.24;-2.00;-2.00
1.00;-1.00;-1.41;-2.00;-2.00;-2.24;-2.83;-3.16;-3.61;-4.00;-4.00;-4.00;-3.61;-3.16;-3.00;-3.00
-1.00;-1.41;-2.24;-2.83;-3.00;-3.16;-3.61;-4.12;-4.47;-5.00;-5.00;-5.00;-4.47;-4.12;-4.00;-4.00
-2.00;-2.24;-2.83;-3.61;-4.00;-4.12;-4.47;-5.00;-5.39;-5.83;-6.00;-5.83;-5.39;-5.10;-5.00;-5.00
