0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.41;2.00;2.00;2.00;1.41;1.00;1.00;1.00;1.00
0.00;0.00;0.00;1.00;1.00;1.41;2.00;2.24;2.83;3.00;2.83;2.24;2.00;2.00;2.00;2.00
0.00;1.00;1.00;1.41;2.00;2.24;2.83;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00
1.00;1.41;2.00;2.24;2.83;2.83;2.24;2.00;2.00;2.00;2.00;2.00;2.00;2.00;2.24;2.83
2.00;2.24;2.83;2.83;2.24;2.00;1.41;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.41;2.00
2.83;2.24;2.00;2.00;1.41;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00
2.24;1.41;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1.41;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
